4,2,1,4,3,0,4,2,76
34,-1,0,0,-1,0,4,2,76
34,1,0,0,-1,4,6,2,76
2,1,0,3,3,4,6,2,76
17,1,0,6,2,4,6,2,76
14,4,1,5,3,6,8,2,76
34,-1,0,0,-1,1,10,3,71
34,1,0,0,-1,6,12,3,71
20,3,0,7,2,6,12,3,71
25,2,0,6,1,9,15,3,71
1,3,0,3,1,3,15,4,67
34,-1,0,0,-1,5,17,4,64
21,3,1,8,5,7,19,4,64
32,6,3,6,8,0,20,5,55
29,2,0,5,1,0,20,5,55
34,1,0,0,-1,2,22,5,55
7,3,1,6,0,2,22,5,55
25,2,0,6,1,10,25,5,55
6,4,1,7,1,7,25,5,49
32,6,3,6,8,5,28,6,41
0,1,0,2,2,5,28,6,41
23,5,2,5,5,5,28,6,41
10,2,0,4,2,14,31,6,41
26,2,1,4,4,10,31,6,37
32,6,3,6,8,2,32,8,30
15,4,2,6,7,2,32,8,30
34,1,0,0,-1,13,35,8,30
34,-1,0,0,-1,13,35,8,30
34,1,0,0,-1,15,37,8,30
5,2,0,5,2,15,37,8,30
3,2,0,3,2,17,39,8,30
28,4,3,5,10,13,39,8,27
34,1,0,0,-1,23,41,8,27
34,-1,0,0,-1,23,41,8,27
34,1,0,0,-1,25,43,8,27
34,-1,0,0,-1,25,43,8,27
32,6,3,6,8,25,43,8,27
34,1,0,0,-1,27,45,8,27
34,-1,0,0,-1,27,45,8,27
34,1,0,0,-1,37,47,8,27
34,-1,0,0,-1,37,47,8,27
34,1,0,0,-1,39,49,8,27
34,-1,0,0,-1,39,49,8,27
32,6,3,6,8,39,49,8,27
34,1,0,0,-1,41,51,8,27
34,-1,0,0,-1,41,51,8,27
34,1,0,0,-1,51,53,8,27
14,4,1,5,3,10,5,0,81
34,-1,0,0,-1,4,5,1,76
34,1,0,0,-1,4,5,1,76
34,-1,0,0,-1,6,7,1,76
34,1,0,0,-1,6,7,1,76
21,3,1,8,5,8,9,1,76
1,3,0,3,1,1,10,2,68
7,3,1,6,0,5,12,2,68
25,2,0,6,1,4,13,3,62
6,4,1,7,1,4,13,3,62
29,2,0,5,1,12,18,3,62
28,4,3,5,10,8,18,4,57
