aGSgLeUBbDWHOdTPENKRMJYVQAICcfZXF,CAAAZAAAFACAaACA..GAEALAFABAGADCCBHCBAdCFA...TCGAhAAAECHBRDDB...MEEBhAGAVFGBQFFAhAIAAAGA..fHEBSHGA....hBCA......hBIA....,1
RYJOMSKUNXGFVbACDZcfPQWTIHaeLBEdg,ZAAA..fAAAQAEA.TAGAIADAHCAAeAEHECEBdDGAhABARAGBOBCBMCIBKEADhACAXCFDGGEBbCADAEEBDIAAhADA..PDDB.aDHD.LFFBhAAA.BGAA..hACA...,1
bFRSLNdWQYMHGTCBAfDPOZgXaeUKVIcJE,DAAAOAAAZABE...aADDeAEH.UAGAKAFA..VCEAJCCB.EBBBFDABhADA..RDBA.LDFAhBAAdAHAQEGAMEEBHFFAhBGATFAACHDD.BFFDADGA......hAFA......hBAA...,1
RGeMdNIYOECafZXbVPWSQATcKUgLJDHFB,TAAAKAAALACB.HAEAFACARAEFGCEBeAGHdCCA..IEAAhAAAECHFCEDA.aAGAZFEBXECAhAEAVGAA.PEHBhCAASEHHACHA.gGGGJFFB..hAAA......hAGA....,1
RFXTeAMLbdQYZEBcagDHIUKfSCJPWVOGN,MAAALAAAdAEAZAFBEAEABAGA..aAHDDAIBHBBBUCAAKDEDCCDA..hBAA.JDGB..PCFBhABAOEBB..RDGFFGCAhACAeEHHAEEB...YFFFIHHASHBAhBBA..WEAAhAEA....,1
MRUeTQVXDgBZdPNOScCGbWLEFYaHKIAJf,MAAARAAAeADE..TADAQAGC.DBEBBAFBdCCA.OAGDhAIACCFDGDGAbBBD.LEEBhAAAECFBFDHDHDDBACIB.JFGFhBAA............hBBA......hBIA...,1
GTJdYUcaQANPWRXMOBKgEHeSfZLCbFDVI,...NAAA.PAAA.RADA.XAFABAGBKBHBHBBA.eBHHSCCBhAEAfCEAZCEBLDGBhAIACDBDDCGBGEBBhABATGEAdFGAYFAF.....hBAA......hCAA...,2
MKYXDdcTUCPLENOgfVaRJQSAFWIZHBbGe,FAAAZAAAHAEABADAGAEAeAHHMCAB.KCCDXAGA.DCCBdDEAhABA.TEGACCGA.EECAhACAODABVGAARGEAJDDBAAGA.hADA....WDHH.....IEGAhADA.cFFChAGA.LHAA,2
TOEgYKIMJeFRDaBWUNbHLcfAVCXPGdQSZ,XAAAGAAAdADAZACBEAFA..KAEAMAIBeAGHRCDABBGA.UEFAhAAANAIAHCEBLFAA.hAAAAEIB.CECAPEGD.hACATGAAOHDAIHDADGIBaDBD...WFHHhABA.....hAFA....,2
JCdfVITUQBRGcZFPbgaSKWeNHADMOXEYL,MAAAOAAA..EADALAEAdAGA.ICCATBBABBEA.hAFARDDAZDGBFBHD..bCEBaFFBhAIASDBDeGBANEIA.hBAAHEDBABIB.DEIB.XGAA.YFHFhAGA.fGFAhAIA..,2
dHTQPeBZfXRNcSVAFgbUEMOJDWGLCaIKY,FAAAUAAAEADAMADA..DAGAGAGALBFACBDA.KCCAHBEB.TDBAhAIAeDABBDEAZEEAXGBAhBAARDFFSDHBhADAAEIBOGECaECB..IGHA.dHBB.fHFBhBAA..hBGA....,2
ZYRNfGQHFaKUeLdOMPETBWDAgbCJcSXVI,CAAAJAAA..SACA..XADBZAEBRAGBGCAAQAFAhAIAHCFBaCCFKCCAeBHHhBAAdFFDOFHDECFBBEEAAACA.hAAAgEGA..cECDIHBAhBHANIAB.fGHAhCAA...,1
IXbHSFLVDPKUTMaCWYNJQBRGedfEOAcZg,ZAAAXAAAHAEASAGELADA.DACAKAHBUCCBMCDA.aCFECCFA.hABA....WDDBhAAAYCGB.JFEBREAAGGEBhABAdGGA.fDHAACIB.IHAAhAEA....hAFA...,1
