17,1,0,6,2,12,7,0,81
19,4,2,5,5,10,12,0,72
3,2,0,3,2,5,14,2,67
34,-1,0,0,-1,3,16,2,64
32,6,3,6,8,2,21,3,52
7,3,1,6,0,8,24,3,52
6,4,1,7,1,8,26,4,46
32,6,3,6,8,5,28,5,38
0,1,0,2,2,5,28,5,38
25,2,0,6,1,12,30,5,38
34,-1,0,0,-1,9,32,6,34
32,6,3,6,8,9,32,6,33
34,-1,0,0,-1,11,34,6,33
22,3,2,5,10,19,36,6,33
34,-1,0,0,-1,22,42,8,28
34,1,0,0,-1,22,42,8,28
34,-1,0,0,-1,24,44,8,28
32,6,3,6,8,24,44,8,27
34,-1,0,0,-1,26,46,8,27
34,-1,0,0,-1,36,48,8,27
34,-1,0,0,-1,38,50,8,27
32,6,3,6,8,38,50,8,26
34,-1,0,0,-1,40,52,8,26
29,2,0,5,1,6,1,0,81
11,5,1,6,1,3,3,1,76
34,1,0,0,-1,10,9,1,76
8,5,2,4,6,13,11,1,76
1,3,0,3,1,7,14,3,72
25,2,0,6,1,9,16,3,72
32,6,3,6,8,3,16,4,68
7,3,1,6,0,12,21,4,68
34,1,0,0,-1,10,23,7,56
18,6,2,4,4,12,25,7,56
32,6,3,6,8,15,29,9,51
0,1,0,2,2,15,29,9,51
2,1,0,3,3,15,29,9,51
34,-1,0,0,-1,15,29,9,51
19,4,2,5,5,17,31,9,51
32,6,3,6,8,10,33,11,45
28,4,3,5,10,10,33,11,45
30,3,1,5,2,23,35,11,45
27,2,2,6,7,33,41,14,41
13,1,1,5,7,26,45,17,36
34,1,0,0,-1,38,47,18,31
34,1,0,0,-1,40,49,18,31
34,1,0,0,-1,42,51,18,31
34,1,0,0,-1,62,53,18,31
17,1,0,6,2,6,1,0,81
34,-1,0,0,-1,3,1,0,75
34,1,0,0,-1,5,3,0,75
25,2,0,6,1,7,5,0,75
11,5,1,6,1,5,8,1,71
34,1,0,0,-1,5,12,2,65
18,6,2,4,4,12,17,2,65
4,2,1,4,3,8,21,4,61
7,3,1,6,0,9,25,5,51
28,4,3,5,10,10,28,6,45
34,-1,0,0,-1,10,30,7,36
22,3,2,5,10,12,32,7,36
32,6,3,6,8,0,33,9,30
34,1,0,0,-1,14,38,9,30
34,1,0,0,-1,27,42,9,30
34,1,0,0,-1,29,44,9,30
32,6,3,6,8,29,44,9,29
34,1,0,0,-1,31,46,9,29
34,1,0,0,-1,42,48,9,29
34,1,0,0,-1,44,50,9,29
32,6,3,6,8,44,50,9,28
34,1,0,0,-1,46,52,9,28
25,2,0,6,1,6,1,0,81
25,2,0,6,1,1,2,1,77
34,1,0,0,-1,3,4,1,77
12,3,1,4,3,6,6,1,77
6,4,1,7,1,4,9,2,73
28,4,3,5,10,6,13,3,66
7,3,1,6,0,6,16,3,61
34,-1,0,0,-1,3,16,4,55
34,1,0,0,-1,9,18,4,55
5,2,0,5,2,19,24,4,55
8,5,2,4,6,9,27,5,43
11,5,1,6,1,8,30,7,39
26,2,1,4,4,21,36,7,39
16,6,2,6,3,28,41,9,33
32,6,3,6,8,22,42,11,27
34,1,0,0,-1,38,47,11,27
34,1,0,0,-1,40,49,11,27
34,1,0,0,-1,42,51,11,27
34,1,0,0,-1,55,53,11,27
19,4,2,5,5,6,1,0,81
1,3,0,3,1,0,4,2,76
34,1,0,0,-1,4,6,2,76
2,1,0,3,3,6,8,2,76
28,4,3,5,10,7,11,2,73
12,3,1,4,3,6,13,2,68
34,1,0,0,-1,8,18,3,64
31,6,3,4,7,10,20,3,64
32,6,3,6,8,6,24,6,57
25,2,0,6,1,8,26,6,57
32,6,3,6,8,2,26,7,52
7,3,1,6,0,14,31,7,52
34,1,0,0,-1,8,33,8,38
30,3,1,5,2,22,39,8,38
34,1,0,0,-1,26,42,11,34
32,6,3,6,8,26,42,11,34
13,1,1,5,7,29,45,11,34
34,1,0,0,-1,35,47,12,29
34,1,0,0,-1,37,49,12,29
34,1,0,0,-1,39,51,12,29
34,1,0,0,-1,53,53,12,29
25,2,0,6,1,8,3,0,81
34,-1,0,0,-1,5,5,1,77
29,2,0,5,1,7,7,1,77
28,4,3,5,10,5,10,2,72
34,-1,0,0,-1,7,13,2,67
26,2,1,4,4,9,15,2,67
34,1,0,0,-1,0,15,4,61
34,-1,0,0,-1,6,17,4,61
17,1,0,6,2,8,19,4,61
6,4,1,7,1,4,22,4,49
16,6,2,6,3,8,26,5,42
32,6,3,6,8,10,30,7,35
12,3,1,4,3,10,30,7,35
18,6,2,4,4,10,30,7,35
32,6,3,6,8,10,30,7,35
30,3,1,5,2,23,36,7,35
22,3,2,5,10,15,38,10,31
34,-1,0,0,-1,18,42,12,26
34,-1,0,0,-1,20,44,12,26
32,6,3,6,8,20,44,12,25
34,-1,0,0,-1,22,46,12,25
34,-1,0,0,-1,36,48,12,25
34,-1,0,0,-1,38,50,12,25
32,6,3,6,8,38,50,12,24
34,-1,0,0,-1,40,52,12,24
29,2,0,5,1,6,1,0,81
25,2,0,6,1,3,3,1,76
14,4,1,5,3,7,6,1,76
34,-1,0,0,-1,2,7,2,71
5,2,0,5,2,4,9,2,71
34,1,0,0,-1,4,11,2,66
34,-1,0,0,-1,4,11,2,66
34,1,0,0,-1,6,13,2,66
34,1,0,0,-1,8,15,2,66
26,2,1,4,4,12,17,2,66
12,3,1,4,3,10,22,4,60
34,1,0,0,-1,7,24,5,53
28,4,3,5,10,7,24,5,53
4,2,1,4,3,10,27,5,53
20,3,0,7,2,11,30,6,47
16,6,2,6,3,18,36,6,40
11,5,1,6,1,15,40,8,34
34,1,0,0,-1,21,43,9,28
34,1,0,0,-1,23,45,9,28
34,1,0,0,-1,34,47,9,28
34,1,0,0,-1,36,49,9,28
34,1,0,0,-1,38,51,9,28
34,1,0,0,-1,49,53,9,28
7,3,1,6,0,6,1,0,81
1,3,0,3,1,5,3,1,75
20,3,0,7,2,9,6,1,75
2,1,0,3,3,6,8,1,68
34,1,0,0,-1,4,10,1,65
5,2,0,5,2,7,12,1,65
4,2,1,4,3,7,16,1,60
11,5,1,6,1,6,18,2,56
14,4,1,5,3,10,24,3,49
34,1,0,0,-1,7,27,4,44
0,1,0,2,2,16,32,4,44
17,1,0,6,2,13,32,4,42
34,1,0,0,-1,10,32,4,36
32,6,3,6,8,10,32,4,35
12,3,1,4,3,18,36,4,35
34,-1,0,0,-1,15,41,7,27
34,1,0,0,-1,17,43,7,27
34,1,0,0,-1,28,47,7,27
34,1,0,0,-1,30,49,7,27
34,1,0,0,-1,32,51,7,27
34,1,0,0,-1,41,53,7,27
29,2,0,5,1,6,1,0,81
25,2,0,6,1,3,3,1,76
16,6,2,6,3,6,5,1,76
10,2,0,4,2,8,11,3,70
11,5,1,6,1,8,15,3,66
28,4,3,5,10,9,18,4,60
4,2,1,4,3,16,24,4,55
17,1,0,6,2,10,26,5,46
12,3,1,4,3,7,26,5,40
32,6,3,6,8,3,28,6,35
34,-1,0,0,-1,3,28,6,35
34,1,0,0,-1,11,30,6,35
34,1,0,0,-1,23,36,6,35
34,1,0,0,-1,35,42,6,35
32,6,3,6,8,35,42,6,35
2,1,0,3,3,39,46,6,35
34,1,0,0,-1,43,48,6,32
34,1,0,0,-1,45,50,6,32
32,6,3,6,8,45,50,6,31
34,1,0,0,-1,47,52,6,31
21,3,1,8,5,6,1,0,81
34,1,0,0,-1,3,5,1,73
17,1,0,6,2,5,7,1,73
7,3,1,6,0,4,9,1,67
34,1,0,0,-1,6,12,2,61
25,2,0,6,1,10,16,2,61
4,2,1,4,3,10,19,3,57
32,6,3,6,8,3,21,5,47
34,-1,0,0,-1,3,21,5,47
